id,Cluster
100_1,1
100_2,2
101_1,3
101_2,2
102_1,3
102_2,1
103_1,2
103_2,2
104_1,2
104_2,1
105_1,3
105_2,2
106_1,2
106_2,2
107_1,2
107_2,2
108_1,2
108_2,2
109_1,2
109_2,2
10_1,2
10_2,1
110_1,3
110_2,2
111_1,2
111_2,2
112_1,2
114_1,2
116_2,2
118_2,2
11_1,2
11_2,2
121_1,2
122_2,2
123_1,3
123_2,2
124_1,3
124_2,3
125_1,2
126_1,2
127_1,3
128_1,3
129_1,3
12_1,1
12_2,2
130_1,3
131_1,2
132_1,3
133_1,3
134_1,2
135_1,3
136_1,1
137_2,2
138_2,2
139_2,1
13_2,2
140_2,2
141_2,1
142_2,2
143_2,2
144_2,2
145_2,2
146_2,2
147_2,2
148_2,2
149_1,2
150_2,2
152_1,2
155_1,2
156_1,2
157_1,2
158_1,2
159_1,2
160_1,2
161_1,1
162_1,2
163_1,3
164_1,2
166_1,2
167_1,2
168_1,2
169_1,2
170_1,2
171_1,2
172_1,2
173_1,2
174_1,2
175_2,2
176_1,2
177_1,3
178_1,2
179_1,2
180_1,3
181_1,2
182_1,2
183_1,2
184_1,2
185_1,2
186_1,2
187_1,2
188_1,2
189_1,2
190_1,0
191_1,1
192_1,2
193_1,2
194_1,2
195_1,2
196_1,2
197_1,2
198_1,2
199_1,0
1_1,3
1_2,2
200_1,2
201_1,2
202_1,2
203_1,2
204_1,1
205_1,1
206_2,2
207_2,2
208_1,1
209_1,2
209_2,2
20_1,2
20_2,2
210_1,2
210_2,1
21_1,2
21_2,2
22_1,3
22_2,2
23_1,2
23_2,2
24_1,1
24_2,2
25_1,2
25_2,3
26_1,2
26_2,2
27_1,2
28_1,2
29_1,2
2_1,3
2_2,2
30_2,2
31_1,2
32_1,1
32_2,1
33_1,3
33_2,2
34_1,1
34_2,1
36_1,2
36_2,2
37_2,2
3_2,2
41_1,3
41_2,3
45_1,0
45_2,3
48_1,2
48_2,2
4_1,3
4_2,2
50_1,1
52_1,1
53_1,2
53_2,2
54_1,3
54_2,2
55_1,2
55_2,2
56_1,2
56_2,2
5_1,3
5_2,2
60_1,3
60_2,2
61_1,2
61_2,2
63_1,3
63_2,2
64_1,2
64_2,2
65_1,3
65_2,1
66_1,2
66_2,2
67_1,2
67_2,1
69_1,2
69_2,2
6_1,3
6_2,2
70_1,3
70_2,3
71_1,3
71_2,2
72_1,2
72_2,2
73_1,2
73_2,2
74_1,2
74_2,2
75_1,2
75_2,2
76_1,2
76_2,2
77_1,3
77_2,3
78_1,3
78_2,3
79_1,3
79_2,3
7_1,2
7_2,2
80_1,3
80_2,1
81_1,3
81_2,2
82_1,0
84_1,2
85_1,3
88_1,3
88_2,1
89_1,1
89_2,2
8_1,3
8_2,2
90_1,1
91_1,2
92_1,2
92_2,2
95_1,2
96_1,3
97_1,3
97_2,2
98_1,2
98_2,2
99_1,2
99_2,2
9_1,1
9_2,2
